Headword,Definition
ПЕРЕТЯПАТЬ,"што, перацюкаць."
ПЕРЕУВЕРИТЬ,"каго, перакабаціць."
ПЕРЕУГЛИТЬ,"што, перавогліць, перавогліў."
ПЕРЕУКЛАДЫВАТЬ,"што, перакладаць."
ПЕРЕУЛОК,м. папярэчная вулка; перавулак. Глухая вулка: завулак.
ПЕРЕУМНИЧАТЬ,"каго, перахітрыць."
ПЕРЕУСТУПАТЬ,"што, пераўступаць."
ПЕРЕУТЮЖИТЬ,"што, перапегліць."
ПЕРЕХВАТЫВАТЬ,"што, перахопліваць."
ПЕРЕЦВЕТАТЬ,"пераквітаць, пераквет."
ПЕРЕЦ,"м. расьціна Piper nigrum; перац, пярцовы, перчыць, пярчыца, перчына."
ПЕРЕЦЕПЛЯТЬ,"што, перачапляць."
ПЕРЕЧАЛИТЬ,"што, перавязаць."
ПЕРЕЧЕНЬ,"чаго, рэестр, рэестраваць."
ПЕРЕЧЕРТИТЬ,"што, перакрэсьліць."
ПЕРЕЧЕТ,"чаго, пералік."
ПЕРЕЧИНЯТЬ,"што, перапраўляць."
ПЕРЕЧИСЛЯТЬ,"што, пералічаць."
ПЕРЕЧНИЦА,што папярок; папярэчка.
ПЕРЕЧНИЦА,у чым трымаюць перац; пярцоўніца.
ПЕРЕЧУВСТВОВАТЬ,"што, перачуць, перапачуць."
ПЕРЕШАГНУТЬ,"што, перакрочыць, перажыргнуць."
ПЕРЕШЕЕК,"перашыяк, перахват, перасмык, пяроцісь, перачап."
ПЕРЕШИБИТЬ,"што, перабіць."
ПЕРЕШИПЕТЬ,"каго, перасіпець."
ПЕРИЛА,"(апірацца), поручы, рэлі, балясы. У крэсьле поручы; пры масьце ставяць — рэлі, а паладок (балькончык) мае — балясы."
ПЕРЕСТИЛЬ,"м. грэцк. Крытыя пераходы на стаўбах; апавеці, посенкі."
ПЕРИСТЫЙ,"пёрысты, пёрны."
ПЕРИФЕРИЯ,ж. грэцк. абакружыца.
ПЕРИФРАЗА,ж. грэцк. пераказ.
ПЕРЕФРАЗИРОВАТЬ,"што, пераказаць."
ПЕРИОД,"м. грэцк. час ад аднаго здарэньня да другога; арх.: рок, рочны, рокі. Рокі судовыя тэрміны, пэрыёды судоў; іх было спярша чатыры ў гаду, а пазьней два — вясной і восеньню. Рокі соймовыя, пэрыёды соймаў; пэрыёд, пэрыёдычны. Народнае: верамье. Ў веташнае (калі месяц на ветаху) верамье ня можна сьвяжаваць статку, бо мяса будзе ўбываць варучыся і хутка чарвець (Задарожжа). Вось у гэта верамье, — ад Турэцкай да Японскай вайны. Жонка хворая на вярэміцу не павінна хлеба мясіць, гэта грэх. (Навагрудзк. п.)."
ПЕРЛОМУТР,"м. ням. пэрлавіца, перавічны."
ПЕРЛЮСТРАЦИЯ,ж. франц. тайнае чытаньне чужых лістоў.
ПЕРО,"ср. агульн. слав. Пяро складаецца са стрыжня і махтачоў; стрыжэнь: з камля, або дудкі з душой і з лычака. Абрэз дудкі пісомага пяра: борк. Пяро, пёрка, пёры, пярына, пярцо, пярынка, пёрысты, пераваты, пярыстасьць, пёрны, пёрнаўка, пярнатка, пернаціць (стрэлы), пярнач, булава з пёрамі, рэбрамі наверсе."
ПЕРПЕНДИКУЛЯР,м. лінія пад 90° вуглом; прастапад.
ПЕРСИК,"м. дрэва і плод Persica vulgaris; брусква, брусквіца."
ПЕРСОНА,ж. франц. асоба; архаічн.: парсуна. Абед замоўлены на пяць асоб.
ПЕРСПЕКТИВА,"ж. лац. спазор ўперад, на адлегласьць; аманчывае паменшаньне рэчаў ўмеру іх аддаленьня ад глядача; ўсе чаго чакае і спадзяецца чалавек у будучыне; пэрспэктыва, пэрспэктыўны; празор. Простая ў празоры прасада. (Лужкі, Дзісенск. п.)."
ПЕРСТ,"м. палец, пальчык, палюх, пальцы, пальцаваты, пальчасты; пальчаткі, рукавіцы з пальцамі."
ПЕРСТЕНЬ,"м. персьцень, пярсьцёнак, пярсьцёнік, пярсьцёнчык."
ПЕРЧАТКИ,"ж. пальчаткі, рукавічкі."
ПЕРТУРБАЦИЯ,ж. лац. непакой.
ПЕРУН,"м. міт. З усіх славянскіх народаў найжывейшая памяць аб Пяруну захавалася у Крывічоў. Паводле народнага апісаньня — гэта высокі, плячысты галавач з доўгімі валасамі, чорнымі вачамі і залатой барадой; у левай руцэ ў яго лук, у правай"
ПЕСИМИСТ,"м. лац. чалавек якому здаецца што ўсё ідзе на сьвеце да горшага, які ва ўсім бачыць толькі зло, які на ўсё ўзіраецца панура."
ПЕСОК,"м. пясок, пясчына, пясчынка, пяскі, пяскаваты, пясочны, пясчысты, пясчанка."
ПЕСТИК,"м. пладнік, тая часьць кветкі якая запладняецца і далей творыць завязь і плод; таўкачык."
ПЕСТРЫЙ,"рабы; перапялёсы, пярэсты, стрыкаты. Стрыкатая курыца."
ПЁСТРО,"стрыката, стрыкаціста, стрыкаценькі, стрыкаціна, стрыкаціць. Не багата ды бліскуча і стрыката."
ПЕСТРЕТЬ,"пярэсьціць, стрыцець."
ПЕСТ,"м. таўкач, таўкачык, таўчы."
ПЁС,"м. сабака, сабачка, сабачэц, сабацкі, сабацы, сабачэць. Сабака, ўзрослы сабачы самец; сука, сучка, сабачая самка; клюст сабачы самец расплоднік (кобель). Паводле адмен бываюць: кундаль або кундыс, брэхта, выжал, гончы, хорт, ямнік."
ПЕТАРДА,ж. франц. бляшанка напоўненая порахам да ўзрываньня чаго.
ПЕТИТ,м. франц. самыя дробныя друкарскія літары; пэціт.
ПЕТИЦИЯ,ж. лац. пісаная просьба; просьба.
ПЕТЛЯ,"ж. пятля, пяцелька, пятальга; пятляць, путлаць, круціць, блутаць."
ПЕТЛИЦА,ж. абшытая або прышытая засцібка для гузіка; пяцелька; зашплік. Ходзіць з кветкай у зашпліку.
ПЕТЛИ,пры дзьвярох; завесы.
ПЕЧАЛИТЬ,"каго, смуціць, смутак, смутны."
ПЕЧАЛОВАТЬСЯ,смуціцца.
ПЕЧАТЬ,"ж. пячаць, пячатка, пячатаць."
ПЕЧАТАТЬ,адбіваць друк; друкаваць.
ПЕЧАТНИК,хто друкуе; друкар.
ПЕЧАТНЯ,установа да друкаваньня; друкарня.
ПЕЧЕНИЕ,сухое салодкае печыва; сушкі.
ПЕЧЕНЬ,"чэрэва ў целе якое аддзяляе жоўць; печань, ятро."
ПЕЧЬ,"ж. печ, печа, печка, печны; печавік, майстар які будуе печы; пячух, хто сядзіць на печы, дамасед; пячурка, пазушка ў печы да сушэньня і агрэваньня. Печ зложаная з камянёў: камянка, крушвіца."
ПЕЧНИК,м. мурнік.
ПЕЩЕРА,"ж. падзь, пустата ў зямлі; пячора, пячорны, пячорка, пячорскі."
ПИГАЛИЦА,птах Vanellus; кнігаўка.
ПИГМЕЙ,"м. грэцк. малы чалавечак; баечны мальчык з пальчык; злыднік, карштук."
ПИК,"м. масьць у картах; віна, віновы."
ПИКА,"ж. франц. ражон на доўгім дрэўку; рагаціна, дзіда, бадыга, сьпіца, капьё."
ПИКЕТ,м. фр. чата.
ПИКНИК,м. англ. пачастунак у складку; братчына.
ПИЛИТЬ,"чым што, пілаваць, пілаваньне, пілоўка; пільшчык хто пілуе, гаворыцца аб пільшчыках дроў; пільшчыкаў бэляк на доскі, называюць — трачамі."
ПИЛЮЛЯ,ж. лац. пігулка.
ПИЛЯСТРА,"ж. лац. прысьценны стоўб, якбы напалавіну таўшчыні ўтоплены ў сьцяну."
ПИНАТЬ,"каго, пехтаць, пехнуць, петаць."
ПИПА,англ. мера віна: 40 вёдраў.
ПИПЕРМЕНТ,перная мята.
ПИРАМИДА,"ж. грэцк. востраверхае цела на шырокай падставе, з палогімі бакамі; піраміда, кантастог."
ПИРАТ,м. грэцк. наморны разбойнік.
ПИРОВАТЬ,"баляваць, бясёдаваць, банкетаваць."
ПИРОМЕТР,м. грэцк. агнямер.
ПИРОТЕХНИКА,ж. грэцк. умецтва складаць агні і арудаваць агнямі.
ПИР м. ПИРШЕСТВО,"многолюдная званая бясёда; бясёда, бясёдаваць, бясёднік—ніца, бясёданька, бясёднікі; гасцьба, гасьцітва; банкет, баль. Вясельная, хрэзьбінная бяседа. Ой вясёла тая бясёданька, дзе гарэлку пьюць (песн.). Зваў воўк казу на бясёду, ды каза няйдзе."
ПИРОГ,"м. хлебнае ці пірожнае цеста запечанае з накрыпкай; скаромная — з мясам, салам; посная, з рыбай, крупамі, макам, ягадамі; кныш, кнышы. Поўна печ перапеч, а пасярэдзіне кныш. (Загадка: Зоры і месік). Пакуль у бабы дасьпеюць кнышы, то ў дзеда нястане душы. Па нашаму „пірог“ пшанічны хлеб, тое што па расійску „булка“, „куліч“. Дробныя пшанічныя піражкі (рас. „булочки“), у нас маюць названьне: перапечы, перапечкі; перапечайніца, жанка якая выпякае ці прадае піражкі („булочки“)."
ПИРОЖНОЕ,"мазулёк, мазулькі; цестка, цестачка."
ПИСАТЬ,"што агульн. слав.; пісаць, пісаны, пісаньне, пісацца, пісака, пісомы—мая, пісар, пісарства, пісьменнік, пісьменніцтва."
ПИСАННЫЙ,"аздоблены калеровымі рысункамі; маляваны, маляваць, маляванік—нка."
ПИСАНКА,украін. размаляванае фарбамі вялікоднае яйко; маляванка.
ПИСАТЕЛЬ,"пісьменнік—ніца, пісьменніцтва."
ПИСЧЫЙ,пісомы. Пісомая папера.
ПИСЬМО,"паведамленьне на паперы; ліст, лісьцік, лісты, ліставаньне, перапіска, абмен лістамі; лістоўна, паведаміць каго аб чым. Напісаць, выслаць ліст. Я з ім, даўно не лістуюся. Паведамлю Вам аб гэтым лістоўна."
ПИСКАР,"м. рыба піскун, піскуны."
ПИСТОЛЕТ,м. пісталет.
ПИТАТЬ,"каго, сыціць, сыціцца, сытны, сытнасьць; карміць. Сыціць дeшу і цела. Ці насыціўся-ж ты? Сытная, унасытная страва. Якая-ж насыць з рака?! У печы румяна, на стале сытна. (Р. 8—9. 175)."
ПИТАТЬСЯ,"сыціцца, карміцца, жыраваць."
ПИТАТЕЛЬНЫЙ,"сытны, насытны, пажыўны."
ПИТЬ,"што, піць, піты, піваць, піцьцё, піта; пітны мёд; пітня, мейсца дзе пьюць; піва, піта з соладу; піта, напітак, цеклаць служачая да піцьця; жлактаць, жлабтаць; лактаць, локча."
ПИХТА,"хваёвая дрэва, блізкае да сосны Pinus abies; хвоя, хваёвы, хвойка."
ПИЧКАТЬ,"каго чым; напіхаць, нашпіковываць; пехтаць, пехціць. Напехталі, галаву вымысламі."
"ПИЧУГА, ПИЧУЖКА","птах, пташка, пташачка."
ПИЩА,"ж. усё што служыць да аджыўляньня, што сыціць; страва, страўка, страваваць; корм, ежа."
ПИЩЕВОЙ,"страўчы, настраўны. Настраўныя знадаббі. Страўчы праход."
ПИЩЕПРОВОДНИК,стравапраход.
ПИЩЕВАРЕНИЕ,"ср. траўленьне, травіць, страўны. Толькі пры добрым траўленьні можа быць чалавек здаровы. І пры добрым траўленьні ня страўных рэчаў, жывот няможа травіць."
ПИАНО,"прысл. італьян. музычн. ціха, цішэй."
ПИИТИКА,ж. грэцк. навука вершаваньня.
ПИОНЕР,"м. франц. вайсковец для земляных работ, для пратораньня дарог."
ПИЯВКА,ж. пьяўка. Піла-бы пьяўка ды залубянела брушка.
ПЛАВАТЬ,"плысьці, плыцьцё, плыўмя, плывучы, плывун, плывень, плывок, плывучка."
ПЛАВИТЬ,"што, рабіць рэдкім, на агні; тапіць, топкі, топлены, тапленьне, топкасьць, тапіньнік."
ПЛАВНО,"паточыста, паточысты."
ПЛАКАТ,м. франц. апавестка да расклеіваньня на сьценах.
ПЛАКАТЬ,"агул. слав. плакаць, плач, плача, плачмя-плача, плачлівы, плакса, плак."
ПЛАЧЕВНЫЙ,годны плачу; плачлівы.
ПЛАМЯ,"полымя, полымны, палымее, паланее, паломісты, паланець, палымець. З агня ды ў полымя. Паломістае жаданьне дабра. Дровы пылаюць, паланеюць у печы."
ПЛАМЕННО,"палка, агніста."
ПЛАНЕТА,ж. грэцк. плянэта.
ПЛАНКА,"ж. нямец. невялічкая дашчэчка; пластка, пластачка; лішта, ліштаўка."
ПЛАНТАЦИЯ,ж. лац. зямля абробленая і абсаджаная фруктовымі дрэвамі або кустамі; плянтація.
ПЛАН,"м. лацін. плосмець, плосмы нарыс, выабражэньне рэчы, без пэрспэктывы (празору); плян, плянаваць, плянаваньне."
ПЛАНИМЕТРИЯ,"ж. часьць геаметрыі, якая абыймае вымерываньне і вылічаньне плосмяцяў, па паверхні цел."
ПЛАСТИКА,"ж. грэцк. умецтва выабражаць рэчы ў поўным, круглым выглядзе, разьбой або лепкай; плястыка, клуглавітасьць."
ПЛАСТ,"м. пласт, пластаць, пласткі."
ПЛАСТИНКА,"ж. кождая рэч у форме цененькай дошчачкі; пластка, пластачка."
ПЛАСТИНЧАСТЫЙ,"пласткаваты; аб грыбох на сподзе якіх маюцца пластачкі, пружкі, увесь род гэтых грыбоў — пружакі."
ПЛАСТАТЬ,"рыбу, палтаць, плытаць."
ПЛАСТАР,"м. лек. плястыр, плястры; прыльпень."
ПЛАТАН,м. дрэва з кляновымі лісьцямі Platanus occidentalis; явар.
ПЛАТАТЬ,"вопратку, зашываць, накладаць латкі; лапіць, лапленьне, лаплены, палаплены; лаплік, палапленая вопратка; латаць, латаніна, латаньне."
ПЛАТЬЕ,"ср. усё што мы напранаем, акром бялізны; стар. і песеннае: хусьцё; цяпер: вопратка, адзеньне, адзежа."
ПЛАТОК,"м. хуста, хустка, хустачка, хусьціна, хусьцінка; стар.: шырынка."
ПЛАТИТЬ,"за што, каму; плаціць, плата, платны, платнік—ніца аплатчык."
ПЛАТФОРМА,"ж. франц. памост, насьцілка, памост да пастаўленьня чаго колечы; пласа, пласьня."
ПЛАФОН,"м. франц. столь, малюнак на столь."
ПЛАХА,"расшчэплены напалам кругляк дае дзьве плахі; верх плахі: гарбыль, ніз, па расшчэпу: пласмень, пласмо. Палажы плаху гарбом, пласмом ўверх; плашка, пластка, плашмак."
ПЛАШМЯ,"палажыць, пласмя, пласмом; наўсплась."
ПЛАЦ,"м. нямецк. майдан, ток, буёк."
ПЛАЧЕВНЫЙ,плачлівы. Вясёлы пачатак ды канец плачлівы.
ПЛАШМЯ,наўсплась.
ПЛЕЯДЫ,"ж. найме групы з сямі гвёзд ў спагвезьдзі цяльца; стажары, валасажары, гняздо, бабы, кучкі."
ПЛЕВА,"ж. плева, плеўка, плевачка, плявіна; балона, балонка, балоністы."
ПЛЕВЕЛ,"м. мякіна, палова, пялюха."
ПЛЕВЕЛ,шкодная трава ў збожжы; зеліва.
ПЛЕВАТЬ,"пляваць, харкаць, харкацьцё."
ПЛЕВОК,"м. плявунец, харкавень."
ПЛЕМЯ,"агульн. слав. племя, племны, племіць; пляменік, з брата сын."
ПЛЕМЕННОЙ,"племны. Племны бычок, цялушка, пакінутыя на племя."
ПЛЕМЕННИК,м. установа для расплоду; племнік.
ПЛЕОНАЗМ,м. грэцк. многамоўства.
ПЛЕРЕЗЫ,ж. фр. белыя нашыткі на чорнай вопратцы; жалобныя нашыткі.
ПЛЕСЕНЬ,"гнільная нарасьць ад вільгаці; цьвіль, цьвілець, зацьвіль."
ПЛЕСКАТЬ,"плюскаць, плюскацца, плюск, плюскоча; плюса або плёса, заліў на рацэ, — мелкі заліў ў возеры, мелкая затопа."
ПЛЕСНА,"ж. ўся ступня нагі, плосмая яе часьць; ступня."
ПЛЕТЬ,"ж. пуга, пужка."
ПЛЕТЕНЬ,"м. тын, тыніць, тынок."
ПЛЕХНУТЬ,"што, пялёхнуць."
ПЛЕЧО,"ср. плячо, плечы, плячысты."
ПЛИС,м. франц. партовы аксаміт; пліс.
ПЛИТА,"ж. пліта, плітка, плітоўнік."
ПЛОДИТЬ,"каго, пладзіць, пладзіцца, плодны, плод, пладавіты, плоднасьць."
ПЛОМБА,ж. франц. валавяная вісячая пячаць; плёмба.
ПЛОСКИЙ,"роўны, сплюшчаны, на чым няма гарбоў; плосмы, пласмаваты, пласмо, пласміня, пластка; плоцны, плоц, плацмаваты, плоцкі."
ПЛОСКОСТЬ,"глупая насьмешка, высказ; пляўзьня, пляўза, пляўзнуў, пляўзае."
ПЛОСКОВЕРХИЙ,пласмаверхі.
ПЛОСКОГРУДЫЙ,пласмагруды.
ПЛОСКОДОННЫЙ,пласмадонны.
ПЛОСКОНОСЫЙ,пласманосы.
ПЛОТНЫЙ,"сьціснуты, зьбіты, густы; шчытны, зворны, стульны, сьціпры, зьніцны. Сьціпры ком, сьціснуты, зьбіты. Сьціпрэй накладай воз. Шчытна, зворна, стульна, зьніцна зложаны клепкі ў дзяжы; дапасавана дно да вядра."
ПЛОТНОСТЬ,"сьціпрасьць; процілеглае гэтаму паняцьцю кіпры кіпрасьць, рыхлы, наздрысты, ня сьціслы. А плоть языка суть кипрая. (Супр. рук). Клён куды сьціпрэй за бярозу. Слова „сьціпры“ праўдападобна, злажылася са слоў „сьціслы“ і „сьперты“."
ПЛОТНИК,"м. цясельнік, цясельніцтва, цясельства, цясьліць."
ПЛОТЬ,"ж. цела жывёлы і чалавека; уся матэрыя з якой складаецца жывое цела; цела, цялесны. Слова „плоць“ ужываецца ў нашей мове для абазначэньня сорамных часьцей цела, а часам для выражэньня паняцьця да якога гатунку, мужскога ці жаночага, належыць аб’ект: Плоці мужчынскай, плоці жаночай. Не падкасывайся, плоці сваей не паказывай! У маскалёў і галава плоцьцю называецца, таму яны так брыдка і лаюцца (в. Мікалаева, каля Дзісны). Што ты як сабака плоць сваю паказуеш! Па плоці пазнаюць хлопчык ці дзяўчынка."
ПЛОТОЯДНЫЙ,"мясаедчы, мясаеднік."
ПЛОХОЙ,"благі, худы, дрэнны, кепскі. Благога, худога чалавека унікай. Блага, худа, дрэнна жывецца."
ПЛОШАТЬ,"кепсьціцца, скепсьціцца; блажэць, зблажэў; дрэфіць, дрэпіць, дрэпіцца, здрэпіўся."
ПЛОЩАДЬ,ж. не забудаваны абшар у гарадох
ПЛОЩАДКА,ж. падвышанае і роўнае мейсца;
ПЛУГ,"м. плуг, плугаваць, плужыць, плужнік, плугатар, плугарал, плугавік."
ПЛУТ,"м. пройда; махлюга, махляваць, махлыжыць, махлыга."
ПЛЕНИТЬ,"каго, паланіць, палонны, палон, палоннік—ніца."
ПЛЕНИТЕЛЬНЫЙ,"павабны, паваблівасьць."
ПЛЕСЕНЬ,"сівазялёны грыбок на загніваючых рэчах; цьвіль, цьвілець, цьвілаваты, цьвільга; цьвіляваты; цьвіліховы — па масьці — сівазеленаваты."
ПЛЕШЬ,"голае мейсца ад выпаўзшых валасоў; лысіна, лысець, лысы, лысаты, лысаваты."
ПЛЮСНА,"ўся нага ад пяты да пальцаў; ступня, ступеня."
ПЛЮС,м. лац. знак дадаваньня (+); плюс.
ПЛЮШ,"тканіна, машыст, машыстовы."
ПЛЯСАТЬ,"танцаваць, танцы, танок, танцор—рка."
ПНЕВМАТИКА,"грэцк. навука аб паветры, часьць фізыкі."
ПОАЛЕТЬ,"пачырвець, пачырвеў."
ПОБЕРЕЧЬ,"што, паашчадзіць."
ПОБЕРЕЖНЫЕ,"жыхары, наўзьбярэжныя."
ПОБИРАТЬСЯ,"жабраваць, жэбры."
ПОБЛАГОДАРСТВОВАТЬ,"каму, падзякаваць."
ПОБЛАГОДЕТЕЛЬСТВОВАТЬ,памагчы.
ПОБЛАГОПРИЯТСТВОВАТЬ,"каму, паспрыяць."
ПОБЛАЖАТЬ,"каму, патакаць, патачка."
ПОБОРАТЬ,"каго, перамагаць."
ПОБОРСТВОВАТЬ,"чаму, дапамагаць."
ПОБОРОЗДИТЬ,"што, паскародзіць."
ПОБРАНКА,"вышла, палайка, палаяць."
ПОБРЕЗГОВАТЬ,"чым, пагрэбаваць."
ПОБРЯКУШКА,пабразгушка; дзындзык.
ПОБУЖДАТЬ,"каго да чаго; пабуджаць, пабудка; панука, панукаць."
ПОБЫВКА,"часовае быцьцё; побыць, на побыце."
ПОБЕГ,"м. уцёк, уцекі, уцечны, уцечка."
ПОБЕГИ,"на дрэве, парасьці."
ПОБЕГУШКИ,"пабягушкі, пабягун, набягулькі."
ПОБЕДА,"перамога, архаіч.: звыцяжства."
ПОБЕДИТЕЛЬ,"пераможца, архаічн.: звыцяжнік."
ПОВАДКА,"м. панада, панадка, панадзіцца. Што ў цябе за панадка — біцца: Понадзіўся, як сьвіньня ў гарох хадзіць."
ПОВЕДЕНИЕ,"спосаб у які вядзе сябе чалавек; паступаньне; паводжаньне, павадэнція."
ПОВАЖИВАТЬ,"што каго; павозіць, павознік, вазіла, павозка, павоз, павозьніцкі."
ПОВАЛЬНЫЙ,"ўсеагульны, пагалоўны; аб хваробе: пошастная, пошасьць."
ПОВЕЛЕВАТЬ,"што, каму; загадываць, загадываньне."
ПОВЕЛИТЕЛЬНЫЙ,"загадны, загадніцкі, загад."
ПОВЕРГАТЬ,"каго, што; парынаць, парынаньне, парынуты, парынаўнік—ніца."
ПОВЕРТЫВАТЬ,"што, каго; павяртаць."
ПОВЕРХНОСТЬ,"ж. паверхня, паверхні, паверхнасьць."
ПОВЕРХ,прысл. наўзьверш.
ПОВЕТШАТЬ,"пастарэць, зьветхнуць."
ПОВЕРСТАТЬ,"параўняць, пашыхтаць."
ПОВИВАТЬ,"што, чым; павіваць, павінаць, павой; бабіць."
"ПОВИВАЛКА, ПОВИТУХА","ж. полажніца, полажная бабка."
ПОВИВАЛЬНЫЙ,"полажны, полажніцкі."
ПОВИДИМОМУ,прысл. відочна. Зіма у нас відочна сярдзітая будзе.
ПОВИДАТЬСЯ,"з кім, пабачыцца."
ПОВИНОВЕНИЕ,"ср. пакора, паслухмянасьць."
ПОВРЕЖДАТЬ,"што, псаваць; шкодзіць, пашкоджаньне."
ПОВРЕМЕНИТЬ,"пагадзіць, зчасаваць, пачакаць, саждаць. Згадзя год ён ізноў прышоў. Стой, сажджы жана мая (Р. 8—9. 163)"
ПОВРЕМЕННЫЙ,пачасоўны.
ПОВСЕДНЕВНЫЙ,"паўсякчасны, абыдзенны."
ПОВСЕМЕСТНЫЙ,паўсюдны.
ПОВСЕСВЕТСКИЙ,паўсясьветны.
ПОВТОРЯТЬ,"што, паўтараць, пазнаўляць, паўзноўна."
ПОВТОРИТЕЛЬНЫЙ,"паўторчы, паўзноўчы."
ПОВЫКОВЫРОВАЛИ,павыкалупывалі.
ПОВЕРКА,"спраўдка, спраўджаць."
ПОВЕРЕННЫЙ,павернік—ніца.
ПОВЕРЬЕ,"забабон, забабоннасьць."
ПОВЕСТВОВАТЬ,"павядаць, апавядач."
ПОВЕСА,вісус; шыбельнік—ніца.
ПОВЕСТКА,ж. позаў.
ПОВЕЩЕНИЕ,"ср. павядомленьне, наказ, азнаймо."
ПОВЕТРИЕ,"ср. заразьлівая хвароба; памор, паморак."
ПОГАНИВАТЬ,"каго, паганяць, пагонка, пагоня."
ПОГОРЯТЬ,"пагараць, пагарэлы, погар, погары."
ПОГАШЕНИЕ,"ср. спагашаньне, гасьба."
ПОГИБАТЬ,"гінуць, спагін; прападаць."
ПОГУБЛЯТЬ,"каго, губіць, загуба; запрапашчаць."
ПОГЛАВНЫЙ,"сабор, пагалоўны, усеагульны."
ПАГЛАЗЕТЬ,"на што, павароніць."
ПОГЛЯДЫВАТЬ,"на што; паглядаць, погляд."
ПОГНУШАТЬСЯ,"чым, грэбаваць, пагарджаць, чурацца."
ПОГОВОРКА,"гутарка, чутка; памоўка, На воўка памоўка, а воўк тут. Кароткі але зьмястоўны сказ; прыказка."
ПОГОДА,"ж. пагода, пагодны, пагодлівы, пагодна, пагодзіцца."
ПОГОНЫ,нарамнікі.
ПОГОРЛАНИТЬ,пагалакаць.
ПОГОСТ,м. магілкі з цэркаўкай; цьвінтар.
ПОГРАНИЧНЫЙ,наўзьмежны.
ПОГРЕБАТЬ,"каго, хаваць, хаваньне, паховіны, пахоўны; хаўтурыць, хаўтуры, хаўтурны. „Хаўтуры“ ад слова „хаваць“, „скрываць“, „хутаць“. Сягоньня абаралі, сягоньня і ахаўталі бульбу, знача абсыпалі, абкапалі (Вітабшчына). Куды ты захаморыла маю шапку, паяс? Хаўтурка, хатурка, названьне зрубчыка які будуюць на могілках замест помніка. Хаўтыр, скупец, які ўсё хавае,"
ПОГРЕБЕНИЕ,"ср. паховіны, пахаваньне; хаўтуры."
ПОГРЕБАЛЬНЫЙ,"пахоўны, хаўтурны."
ПОГРЕБ,"м. склеп, поднік, поруб."
ПОГРЕМОК,м. брашчотка.
ПОГРОХОТАТЬ,пагракаць.
ПОГРУЖАТЬ,"што у што, панураць, панураньне, панураны."
ПОГРУЖАТЬ,"што, націскаць. націсь, націсканьне."
ПОГРЕШНОСТЬ,спамылка.
ПОДАТЕЛЬ,"чаго, давец."
ПОДАТЬ,"ж. падатак, падаткі, падатковы."
ПОДАВЛЯТЬ,"што, каго, тлуміць, ціснуць. Тлуміць жаль ў душы; сьлёзы ў вачах. Тлумяць, ціснуць людзей."
ПОДАВЛЯЮЩЕ,"патлумляюча, атлумляюча."
ПОДАВНО,"прысл. пагатоў. Вам добра, а мне пагатоў."
ПОДОЙНИК,"м. начыньне да даеньня; даёнка, дайніца."
ПОДДАКИВАТЬ,патакаць.
ПОДАРИТЬ,"што, каму; дараваць, падараваць, падарунак. Каго люблю, каго люблю таго пацалую; пуховую падушачку таму падарую."
ПОДАЯНИЕ,"ср. датак; дар, дарэньне. Усякі датак добры."
ПОДБАВЛЯТЬ,"што у што; дадаваць, наддаваць."
ПОДБАВКА,"наддача, наддатковы; падвышка."
ПОДБЕДРЕННЫЙ,"паджаберны, паджабрыцы,"
ПОДБЕРЕЖНЫЙ,наўзьбярэжны.
ПОДБИВАТЬ,"каго на што; падушчаць, падбіваць."
ПОДБИВКА,"падкладка; хутроўка, хутраваць; подшаўка."
ПОДБОР,"м. дабор, дабіраць, даборны."
ПОДБРАСЫВАТЬ,"што, падкідаць, падкіданьне."
ПОДБЕЧЬ,"падбегчы, падбежка."
ПОДВАЛ,"м. зруб ўстаўлены ў зямлю; поруб. Па нашаму „падвал“, „падвала“, фундамант; падвалак пень, калода, найчасьцей дубовая, якую падкладаюць пад вуглы вясковых будынкаў."
ПОДВЕРГАТЬ,"што ці каго чаму; паддаваць, наражаць. Паддаваць каго чыім уплывам. Паддаць каго суду, адпавядальнасьці. Наразіць каго на клопаты, непрыемнасьці."
ПОДВЕРНУТЬ,"што, падвінуць."
ПОДВЕРСТАТЬ,"што, падшыхтаць, падшыхтаваць."
ПОДВЗДОХИ,"падуздошы, падмікіткі."
ПОДВИГАТЬ,"што, пасуваць, пасуваньне; парухаць; пакранаць."
ПОДВИЖНОЙ,"рухавы, рухавасьць; пакратлівы."
ПОДВИЖНИК,"м. патужнік, падзейнік, спачынца."
ПОДВИГ,"м. патуга, чын."
ПОДВИЗАТЬСЯ,"чыніць, дзеяць."
ПОДВИНЧИВАТЬ,"шруб, падшрубовываць."
ПОДВЛАСТНЫЙ,"падуладны, падлеглы."
ПОДВОРАЧИВАТЬ,"што, падвяртаць."
ПОДВОРЬЕ,"заездны дом; заезд, заездны."
ПОДВОХ,м. подступ.
ПОДВЕДОМСТВЕННЫЙ,"падведамны, падведнасьць."
ПОДВЕСКА,"ж. вісулька, дзындзык, брындзік."
ПОДГАДИТЬ,"падгадзіць, здрэпіць."
ПОДГВОЗДИТЬ,"боты, падцьвякаваць, падцьвечыць."
ПОДГЛЯДЫВАТЬ,падглядаць.
ПОДГНОЙ,пагной.
ПОДГОВАРИВАТЬ,"каго, падмаўляць."
ПОДГОЛОВОК,"м. узгаловак, узгалоўе."
ПОДГОРОДНЫЙ,"прыгорадны, прымескі."
ПОДГОРЮНИТЬСЯ,зьбедніцца.
