Headword,Definition
БЛЮСТИТЕЛЬ,"м. надзорнік, захоўнік."
БЛЮДО,"ср. вялікая плосмая міса: паўмісак, талерка, глатка, цынатка, гэта апошняе названьне"
БЛЮДО,ср. ежа падаваная на стол: страва. Абед з трох страў.
БЛЮДЕЧКО,"падстаўка пад шклянку ці чашку: сподак, сподачак, тайстэрка."
БЛЮДОЛИЗ,"м. місаліз, місалізьнік."
БОБОВИДНЫЙ,бабчасты.
БОГАДЕЛЬНЯ,"ж. прытулак для старых і калек; шпіталь, убожніца."
БОГАТСТВО,"ср. багацьце, багацтва. Багацтва пушыць, а убожства сушыць. Конь бяз уздэчкі, а багацьця бяз розуму. Багата — многа, засобна. Багач, эпітэт агня, Багатыр, багаты чалавек. Багаты, багачэй засобны, ўсяго маючы. Багатка — расьціна называная па расійску — одуванчик."
БОГАТЫРЬ,"м. татар. баечны сілач, пабіваючый адным махам многа ворагаў і розныя дзіватворы: волат, харобр, палянец, магут."
БОГ,"м. Бог, Божанька, Божухна."
БОГИНЯ,"ж. багіня, багавіца, богаўка."
БОГОБОЯЗНЕННОСТЬ,богабойнасьць.
БОГОБОЯЗЛИВЫЙ,богабойны.
БОГОВДОХНОВЕННЫЙ,натхнённы.
БОГОМАТЕРЬ,Маці Божа.
БОГОМОЛ,"кузурка, струмель."
БОГОНЕНАВИСТНИК,"м. баглай, баглайнік."
БОГОСЛУЖЕНИЕ,"ср. набажэнства, адправа; царкоўная адправа, адправа імшы сьвятой."
БОГОТВОРИТЬ,багоміць.
БОГОУГОДНИК,"справядлівец, багагоднік."
БОДАТЬ,"каго, калоць, калоць рагамі; басьці, бадзецца, бадун, бадлівы. Бадлівай карове Бог рог ня дае. Наш вол бадлівы, заўсёды з другімі валамі бадзецца, дык мы яго бадуном завём. Толькі вол хацеў другога басьці, ажно той, як баднуў яго ў слабізну. Бадыль, будыль, калючка на расьцінах. Бадавіла,"
БОДРЫЙ,"бойкі, жвавы, чапорны, чапоры, чоўны, крэзвы."
БОДРИТЬ,"чапорыць, сьмеліць, чуняць, кразьвіць."
БОДРИТЬСЯ,"чапорыцца, харахорыцца, крэзьвіцца."
БОДРСТВОВАТЬ,"ня спаць, не драмаць; чуняць."
БОЕВОЙ,"бойны, бітны."
БОЖЕСТВО,божышча.
БОЖИТЬСЯ,"бажыцца, кляношыцца, прысягацца."
БОЙ,бітва.
БОЙНЯ,"ж. мейсца дзе бьюць жывёлу на мяса: рэзня. Разьнік, той хто рэжа жывёлу на мяса. Касапніца, слова паходзіць ад названьня разьніцкага нажа „сяпаг“; сяпануць, ткнуць разьніцкім нажом, цяць нажом па целе; сяпажыць, займацца сяпацтвам; сяпач, разьнік, скурадзёр, кат, палач."
БОКАЛ,"м. лац. вялікі на высокай ножцы, кубак, келіх."
БОК,"м. старана рэчы; у кождай рэчы ёсьць верх і ніз, рэшта зьнешніх плосмаў называюцца бакамі,"
БОКОВОЙ,"субочны, наўзбочны. Зыйдзі ў субочную вулку. Ён яго атазваў насубач і нешта сказаў. Наўзбочная дарожка. Наўзбочнік панскі."
БОЛВАНКА,ж. калодка ў краўцоў да пегленьня (прасаваньня) швоў: цяльпушок.
БОЛДА,ж. пабойня да шчапаньня дроў; цяльпага пабойня.
БОЛОНЬ,"ж. усё што адзявае, абцягае; плеўка, пузыр, грудна-брушная перапонка; маладыя, яшчэ не ацьвярдзеўшыя слаі дрэва; шыба шкла ў раме: балона, абалона."
БОЛОТО,"ср. не перасыхаючая гразь. Балота бывае махавое — амшарына, калі яно заросшае мохам;"
БОЛТАТЬ,"прывадзіць цечу ў рух: баўтаць. Баўтаць языком; баўтаць, баўбатаць, блявурзгаць, блявурзіць."
БОЛТАТЬСЯ,"баўтацца, цялёпкацца, путлацца. Боты баўтаюцца на нагах. Мы абаўталіся насьвеце, Цялёпкаецца між небам і зямлёй, як казлова барада. Шабля пры баку цялёпкаецца. Путлаецца, як сьмятана ў бойцы. Надылбом пяро путлаецца."
БОЛТ,"м. англ. жалезны тоўсты цьвек не вастраканечны, а з вушком і загваздкай; шворан, знузень."
БОЛЬ,"ж. самае пачуцьце цялеснай мукі, боль. Пачуцьце болю, мукі, нездароўя, духовая мука: болесьць, болесны, болькасьць. Ніхто болькасьці матчынага сэрца ня вызьведаў. Болесьцівы, склонны к хваробе, хворы, збалелы, душой. Маці"
БОЛЬНИЦА,"ж. установа для лячэньня хворых, лазарэт, лячомніца."
БОЛЬШОЙ,"вялікі, вялічэзны, абшырны, аграмадны. Бальшак-нка старшы-ая дружка пры маладой (Смал.)."
БОЛЬШИНСТВО,большасьць.
БОЛЕЗНЬ,"ж. хвароба, нядужжа, хворасьць."
БОЛЕЕ,"больш, балей."
БОЛЯЧКА,"ж. болька, прышч, струп."
БОРДЮРЬ,м. франц. шляк.
БОРЗОЙ,"а сабаках, хорт."
БОРМОТАТЬ,"гаварыць не выразна, скора і сабе пад нос; марматаць, мамрыць. Мармыль, той хто мармоча; надуты, нахмылены чалавек."
БОРОВ,"м. кладзены кабан, кнур; парсюк, вяпрук, вепр."
БОРОЗДА,"ж. рэз жалабом зроблены сахой або плугам: баразна, баразіць, баразнаваць; разора. Барозістая, ральля."
БОРОЗДИТЬ,"рэзаць ральлю бараной: баранаваць, скародзіць."
БОРОНА,"ж. барана, скарада."
БОРОТЬ,"каго, асіліваць, перамагаць, сходаць, здужаць боручыся або ў бойцы; бароць, перамагаць."
БОРОТЬСЯ,"з кім, ходацца, барукацца, дужацца, змагацца, доляцца."
БОРЬБА,"ж. змаганьне, барацьба, дужаньнеся, доляньнеся."
БОРЕЦ,"м. змагар, змаганьне; барацьбіт, дужбіт. Змагарна, пабедна, дасьцігаючы пабеду змаганьнем. Наперад, змагарна наперад да волі цярэбячы троп."
БОРТ,"м. франц. рабро, грэбень; у тканінах: крайка, пруг."
БОСИКОМ,"басанож, басаногі, басаножка, басанка."
БОСЯК,"м. басота, галцяй, галцяйства."
БОТВА,"ж. пень і лісьця травяністых, асабліва караняплодавых: батаўе, батузьзё, буцяўё, буцявіна. Буцець, разбухаць як травяністы лісьць, таўсьцець; Бацьвіньня, ладыгі бурачанага ліста ўжываныя на ежу; названьне стравы з бацьвіньня. Нацьвіньне, націва, зелень дробных траў, асабліва гародных; бруквы, морквы, пятрушкі, цыбулі. Батугі, пні травяністых. Батог, мяккі, плецены з рэмяня гарапнік. Бутуз, малы, пухлы хлапец. Буцець, таўсьцець, набухаць, сыцець, расьці."
БОТИНКА,"ж. франц. паўбоцікі з кароткімі поратымі халяўкамі на зашпілках, завязках або гумілястыцы: камашы, чаравікі."
БОТФОРТЫ,м. мн. франц. боты са стаячымі халявамі вышэй кален: штыльпы.
БОЧЕНОК,"м., барылка."
БОЧЕНИТЬСЯ,бочыцца.
БОЯЗНЬ,"боязнасьць, боязкасьць, боесьць."
БОЯЗЛИВЫЙ,"боязкі, страхаморлівы."
БРАЗДЫ,"ж. мн. каленісты жалезны прут, якім кілзаюць коней: цуглі, сьцягры, склюгі. Сьцягры сваей моцы дасьць Пан з Сыону. (Петрашк. псальм.). Аброць не уздэчка, ня мае цугляў. Засклюж каня (Быхаўск. п.)."
БРАКОНЬЕР,м. франц. хто не па праву лавечыць у чужым лесе: запагоншчык.
БРАК,"м. праўная сувязь мужа і жаны: сужэнства. Таемства вянчаньня: шлюб, жанідзьба."
БРАЧНЫЙ,"датычачы жанідзьбы, свадзьбы: вясельны. Вясельнік, учасьнік вясельля."
БРАНЬ,"ж. у значэньні нязгоды: свара, сварка. Называньне зьняважлівымі словамі: лаянка, лайчывыя словы. Лайбоніць, зьняважаць, злословіць. У значэньні бойкі, бітвы: валька, вальчыць. Сталася валька каралю Ягайлу з немцы прускімі. Каўга, коўжыць. Дасварыліся да каўгі. Паміж імі учора каўга была дык ходзяць падбітыя. За вечнай каўгой німа супакою ў хаце (Дрыс. Себежск. пав.). Каўгані яго ў патыліцу."
БРАСЛЕТ,"ж. мэталічная зашпілка на руку дзеля аздобы: бранзалета, нарамак."
БРАТ,"кожды з сыноў адных бацькоў: брат, братка, браток, брацітка, брахна."
БРАТИНА,"ж. начыньне ў якім разносяць напіткі; вялікі кубак які абходзіць у кругавую: конаўка, понаўка, яндоўка, коўш. Конаўка высокай формы з вечкам без падстаўкі; понаўка мае форму пукатага вядра; яндоўку робяць з гліны ў форме місы з аднэй ручкай; каўшы вырэзалі з дрэва, а такжа рабілі і з мэталю багатай формы з узорнай ручкай."
БРАТЬ,"што, яць, няць, імаць, браць. Бранец, бранцы: нявольнік, нявольнікі. Выбранец, выбраны з паміж іншых. У Беларусі даўней было войска званае — выбранецкім, яго набіралі з паміж сялян."
БРАШНО,"м. црк., корм, ежа, страва."
БРАШПИЛЬ,м. голяндз. ляжачы навой да падніманьня цягараў: навой.
БРЕВНО,"ср. зсечанае вялікае дрэва бяз сучча і вярхавіны: бервяно, бярно, бярво. Там цераз балотца паложаны бервы (Сержп. 91). У чужым воку саломінку бачыць, а ў сваім бярна ня бачыць. Бермішча, бермяно, галамень, тое што па-расійску ствол,"
БРЕВЕНЧАТЫЙ,"бярчасты, бярвенны."
БРЕДИТЬ,"відзіць што ў сьне, ў гарачцы: маячыць, маячыцца; трызніць, мітурыць, мітурасы, вярзьці. Маячыцца, як у сьне. З гарачкі прымаячылася яму. Усю ноч трызьнілася нечысьць усякая. Яму ў вачах мітурыцца; прымітурылася нешта. Ляжыць ў мітурасах (Вітэбшч.). Вярзецца што ноч мне сон дзіўны."
БРЕД,"м., маячня, маячаньне; мітурга."
"БРЕЗГАТЬ, БРЕЗГОВАТЬ","грэбаваць, грэблівы, грэблівец."
БРЕЗЕНТ,"м. голяндзк. самае тоўстае палатно на парусы, прасычанае дзёгцям: дзегцявік, дзегцяванае палатно."
БРЕЗЖАТЬ,"брынчэць, бразгаць, бразгатаць, бразгаўка."
БРЕЗЖИТЬ,"безасаб. аб сьвятле, пачатак раніцы: днее сьвітае залачэе. Перад прыходам раніцы ноч — сутуняе; сьвятло брызчыць."
БРЕЛОК,"м. франц. брыжык, брыжыкі, дзындзік."
БРЕМЯ,"бярэмя, берамя."
БРЕНИЕ,"ср. црк. распушчаная гліна, гразь: буза, іл."
БРЕННЫЙ,"глінянны, ўзяты з зямлі, з бузы ілу; крохкі, зьнікомы."
БРЕНЧАТЬ,"брынкаць, брынець, бразджаць."
БРЕШЬ,ж. пралом.
БРИЗЖЕТ,"прышче, пырскае. Прысок, прадукт пырсканьня: гарачы з іскрамі попел."
БРИЛИАНТ,"м. дыямант, ці як даўней у нас называлі, адамант, рубавіднай шліфоўкі, вострай стараной у ніз: брыльянт."
БРИТЬ,"каго, зразаць брытвай валасы са скуры: галіць. Галяк ― брытва. Галяр, той што займаецца галеньнем. Галярня, мейсца дзе голяць. У людзей і шыла голіць, а ў нас і нажы ня ймуць."
БРОВЬ,"ж. дужка з валасоў над вачавой лумкай: брыво, бровы."
БРОДИТЬ,"аб цечыве, закісаць, перахадзіць ў кіслую або вінную закісь: брузьнець, брузець, бружэць. Брузлы, бруглы, закісшы. Брошч, брошча, бругво хлебная або вінная закваска, званая па расійску „дрожди“. Брузло, заквашаная масса. Малако збрызла. Брузлае стравы наліла ў місу. Сок не перабрузаваў яшчэ. Маладое брузло баіцца холаду. Брошчаў купі на пірагі (Навагрудзк. п.)."
БРОЖЕНИЕ,"— брузаваньне. Бругуе, брузло;"
"БРОДИТЬ, БРЕСТИ","хадзіць ў рожных кірунках бяз мэты: валондацца, цягацца, шллындацца, сьцяняцца, бадзяцца, валачыцца. Валондаецца, як старая курыца. Так слаб, што ледзь цягаецца. Шлындаецца бяз ніякае мэты. Па кутох сьяняецца. Валачэцца ледзь нага нагу мінае. Рыбу валачылі трыгубіцай."
БРОД,"м. пераход або пераезд праз мельстынь па вадзе: брод. У Лепэльшчыне ужываюць яшчэ слова — газ, але больш у значэньні мелкага мейсца ва ўсю шырыню ракі ці возера. Такі „газ“ бачыў я на Красенскім возеры (Дзіс. пав.) — гэта, як мне"
БРОДЕНЬ,"м. невялічкі невадок, які людзі бродам цягнуць: бродзень, волак."
БРОДЯГА,"м. валацуга, бадзяга, валандзей, галцяй."
БРОНЗА,"ж. франц. стопленыя разам медзь, волава і цына: мосяж, сьпіж. Мосяж больш коўкі і больш жоўты ідзе на рожныя вырабы: фігуркі, самавары, лыжкі і інш.; сьпіж крохкі і цёмны ідзе на званы і др. Бронза, агульнае названьне масяжовых бляшак да здобленьня упражы. Бранзаваныя шлеі, хамут."
БРОНЯ,"ж. адзеньне з мэталічных пластак, калец, сеткі: броня. Паасобныя назовы: панцыр, кальчуга, куяк."
БРОСАТЬ,кідаць. Кідай шпуляк (мячь) у рукі. Кінь сюды кнігу. Хоць ты плюнь ды кінь. Кідаецца нават у вочы. Дай сюды адзін кідок зямлі. Гэта у яго звыклая надкідка да меркі. Кідзісты ён чалавек. Накідчывы як жыд на рынку. Кідком кідай. Які з яго кідок. І кідомую рэч не тапчы. Кідма—кідаецца ў вочы. Наўскідзь панёс. Поскідкі зьбірае.
БРОШКА,"ж. франц. шпілька, сушпілка."
БРОШЮРА,ж. франц. кніжачка не ў аправе; невялікі лік зшытых друкаваных карцін: кнігібка.
БРОШЮРОВАТЬ,"складаць аркушы паперы ў фармат кнігі, зшываць аркушы друку: згібаць, зшываць."
БРУСНИКА,"ягада, брусьніца; брусьнец чырванець."
БРУС,"доўгае шасьцістароннае цела, дрэва, камень, мэталь. З бярвяна робяць брус, здымаючы чатыры гарбылі: брус."
БРУСОК,"брусок мыла, брусок да востраньня нажоў. Брусіць — вастрыць на бруску. Брусовец гатунак каменя годнага на брусы."
БРУЯ,"струміна на вадзе турэц, ручавіна, струміна."
БРЫЗГАТЬ,"пырскаць, асыпаць кроплямі вады; пырскаць, прыскаць. Брызгі — кроплі цечы, дробныя часткі камяня і др. цьвёрдых цел. Брызчак — дробны дожджык."
БРЮЗЖАТЬ,"журыць, сварыцца; гдырыць, вурчэць, пукчэць. Круглы дзень гдырыць і гдырыць. Абы што то й вурчыць. Пукчыць і пукчыць стары на маладых."
БРЮЗГНУТЬ,"пухнуць, разбухацца; зызнуць, азызаць. Азыз ад гарэлкі. У яго вадзянка мусі, бо ўсё аблічча азызла. Азызласьць, стан азызлага."
БРЮКВА,"ж. расьц. Caulorapa, бруква, бручка. У Дзісенскім павеце называюць грыжына. Навары бульбы з грыжынай. Грыжанінай называюць страву падобную да жыдоўскага цымасу."
БРЮКИ,"ж. мн. ніжняе мужское адзеньне: штаны, порткі, нагавіцы, ганавіцы, гаштакі."
БРЯЗГАТЬ,"што, або чым, кідаць што небудзь са звонам: бразгаць, зьвякаць. Што ты там зьвякаеш грашамі. Ходзіць шабляй пазьвяківае. Бразнуў дзьвярыма і вышаў з хаты. Бразнуў пану ў ногі. Бразгаўка — цацка для дзяцей з бляхі."
БУБЕНЧИК,"бразготка пры конскай упражы: званчак, шумёлка, бома, бомка."
БУБНА,масьць у картах: звонка.
БУБЛИК,м. пшанічны кружок з запечанага цеста: абаранак.
БУГОР,"м. кождае палогае узгорье: пагорак; гурбень, гурбок, гурба, груд, грудок, гуздыр. На пагорку стаіць палац. Панавявала гурбы сьнегу. За гурбком, за лясом калода мокне (загадка). Грудамі называюць, асабліва у парэччы Нёмана, горкі разпаложаныя пасярод балотнай раўніны, а такжа насыпныя горкі. Гуздырамі называюць падскурныя гурбкі на целе."
БУГОРЧАТКА,"гуздроміца, гуздрыца, сухоты."
БУДИЛЬНИК,"прылада прыпраўленая да гадзіньніка, якая будзіць: будзік, будзель. Будкасьць, свомасьць лёгка будзячагася. Будзежа, працэс буджэньня."
БУДОРАЖИТЬ,"каго, палашыць, трывожыць, непакоіць, муціць, каламесіць."
БУДТО,"нібы, нібыто, бытцам, будзе. Будзе любіш дык скажы. Гаворыць бытцам праўду. Нібы то яно так."
БУДУЩЕЕ,"будучына, прышласьць."
БУЖАНИНА,"дымлёная і вараная сьвініна: ванджонка, дымляніна."
БУЗА,маладое піва або брага: брузло. Асобная адмена пьянага квасу — пьянае брузло.
БУЗИНА,ж. дрэва Syringa vulgaris: ― бэз.
БУЙВОЛ,"м. дзікі бык: бавол, тур."
БУЙСТВОВАТЬ,"буяніць. Буян — задзіра, забіяка, разбойнік. Буй, буёк, пусташ, пусты пляц, мейсца узвышнае."
БУКАШКА,"кузурка. Памылкова мяшаюць „казяўка“ з „кузурка“; першае азначае цьвёрдакрылага пругака (насѣкомое), другое „казяўка“ адносіцца выключна да водных стварэньняў пераважна саўсім бязкрылых."
БУКВА,"ж. знак з якіх укладаюцца склады і словы ў пісьменнасьці: буква, літара."
БУКВАЛЬНЫЙ,"літаральны, буквальны."
БУКВАРЬ,букар.
БУКЕТ,"м. франц. снапок, пук кветак: букет."
БУКИНИСТ,"м. франц. таргоўнік старымі кнігамі: кнігапрадаўнік, кнігапрадаўня."
"БУКЛЯ, ПУКЛЯ","ж. франц. закручанае, або ад прыроды курчавае пасмо валасоў: сукро, куграч, пукель. У сукры павіліся, пасучыліся валасы. (Дзіс. п.). Куграткі, куграчы ў яе павіліся па віскох (Рэчыцк. пав.)."
БУКСИРОВАТЬ,"што, цягнуць па вадзе плывучы цягар: валачы."
БУЧА,"ж. навар па попелі да мыцьця бялізны: жлукта. Жлукціць, выварываць, вымываць бялізну ў жлукце. Жлуктарня, будынак дзе жлукцяць бялізну. Слова — буча ў беларускай мове азначае тое, што па-расійску „нагоняй“: зрабіць каму бучу."
БУЛАВКА,ж. іголка з галоўкай: шпілька.
БУЛДЫГА,"ж. кругляк з цаўём у форме молата: даўбешка, даўбня, пабойня цяльпага."
БУЛДЫРЬ,"м. пузырная пухліна, шышка: бумбель, будыр, вудыр, гуздыр."
БУЛКА,"ж. пшанічны хлеб: пірог, каравай-жа"
БУЛОЧНАЯ,дзе пякуць хлеб і булкі: пякарня; дзе прадаюць пшанічны хлеб: пірожня.
БУЛТЫХАТЬ,"кідаць што ў ваду, баўтаць цечыва: шабаўтаць, пялёхаць. Шабоўсь у ваду. Разчабоўхаў цэлыя суды вады. Нешта такое чабоўхтаецца (Пялёхаецца) ў бутэльцы. …і цялёх пану ў ногі (Сержп. 52)."
"БУЛЫГА, БУЛЫЖНИК","круглаваты камень да машчэньня вуліц: глыга, глыжак, глыжмень, глыжмак."
"БУЛЬОН, БУЛИОН","м. фран. мясны навар. Сухі бульён, мясны навар выпараны да напоўсухой гушчыні: бульен, навар, юшнік."
БУМАГА,ж. пух расьціны Gossypium: вата.
БУМАГА,"да пісаньня з рызьзя і дрэва: папера папяровы. Папернік, што робіць, або прадае паперу. Паперня, фабрыка дзе робяць паперу."
БУМАЖНИК,"м. скураны мяшэчак рожнай формы да нашэньня папераў ў кішані: гамэтка, вайгак, папернік. Гаманец, мяшэчак да нашэньня мэталічных грошы. Сялянскія гамэткі гэта падаўгаваты квадратовы кавалак скуры на 1—4, падзелы ў ½ аркуша паперы, складаны папалам, з мэталічнай зашпілкай або раменнымі завязкамі. Вайгак тая-ж гамэтка з некалькімі аддзеламі ў сярэдзіне і часам, з мэталічнай рамай, даходзіць часам значнай вялічыні."
БУМАЗЕЯ,"касматая тканіна з ваты: мультан, бархан."
БУНТ,м. ням. аб рэчах: вязанка чаго колечы: кітка. Цэлую кітку навязаў скурак. Кітка бобу.
БУНТ,"аб людзях: змова дзеля выказаньня няслухмянасьці: бунт. Бунтар, той хто бунтуецца. Бунтэжыць, падбіваць, намаўляць другіх да бунту."
БУРАВ,"м. сталёвая паўтрубка з шрубавым наском і папярэчнай калодачкай ў версе: сьвярло, сьвярдзёл. Сьвярліць, выкручваць сьвярдлом дзірку. Сьвярстак, машына да выкручваньня дзірак."
БУРАН,м. сьнежная замець пры сільным ветры: шугавея.
БУРГОМИСТР,"гарадзкі галава, бурмістр."
БУРЖУАЗИЯ,"ж. франц. гараджане, мяшчане, купецкая кляса, багачы."
БУРЛИТЬ,"клыгчыць, глюкчыць, клякоча, бурыцца. Клокны, каторы бурна бурыцца. Аж клыкчыць (глюкчыць, клякоча) вада ў гаршку, так варыцца. Маладое віно ніхай перабурыцца."
БУРЬЯН,"м. былістая засьметлівая расьціна, куставая трава на развалінах і заплотках: быльнік."
БУСЫ,"ж. мн. агульнае названьне дутых шклянных, часам і шліфаваных пацяркаў: пацеркі, каралі."
БУТИТЬ,"заваліваць яму, канаву, або ваду камянямі і зямлёй: гаціць, загаціць, загата."
БУТЕРБРОД,"м. ням, хлеб з маслам: лусьцік, лусьцень."
БУТОН,"м. франц. кветны пучок: наквець, заквець."
БУТЫЛКА,"м. франц. вускашыйнае шклянное начыньне: бутэлька, пляшка."
БУФЕТ,м. франц. шафа або сьвятліца дзе хаваюць усе прыналежнасьці да стала і закускі: буфэт. Даўней у нас па дварох як сталовы буфэт так і пакой буфэт звалі — шафарня.
БУФЕРА,м. мн. жалезныя талеркі на пружынах да аслабленьня сілы удару: шчоглы.
БУХНУТЬ,"ўздунацца, разшырацца ад мокрасьці: бракнуць, набракаць. Вядро забракла на дажджу. Дрэва ў вадзе набракла. Гарох так разбрак, што покаецца. Рука разбракла, знач. разпухла. Нябошчык разбрак у труне."
БУХТА,"ж. ням. марскі зацішны і глыбокі заліў, завань."
БУДУЩНОСТЬ,ж. будучына.
БЮСТ,"м. франц. выабражэньне чалавека да палавіны ― з гіпсу, гліны, камяня, мэталю: пагрудзьдзя."
БЫЛЬ,"ж. падзея, быцежа, станьне."
БЫТИЕ,"ср. стварэньне, істасьць. Усякая істасьць. Бога хваліць."
БЫК,"м. самец каровы. Ня кладзены ― бугай, бык,"
БЫСТРЫЙ,"борзды, борзкі, шпаркі, хіжы."
БЫСТРЯК,"м. на рацэ, турэц."
БЕГСТВО,"ср. уцекі, зьбегі."
БЕГСТВОВАТЬ,"уцякаць, зьбягаць."
БЕГЛЕЦ,"уцякач, зьбег."
БЕЖЕНСКИЙ,"уцекачоўскі, зьбежніцкі."
БЕГАЛИЩЕ,майдан.
БЕДА,"ж. агульна слав. слова: бяда, бядаваць, бедны."
БЕДНЫЙ,"немаетны, недастатны: бедны, бяднець, беднасьць."
БЕДСТВИЕ,"няшчасьце, бяда."
БЕЛЫЙ,"агульн. слав. белы, бялец, бель белявы, бялёсы."
БЕЛКА,"вавёрка, векша."
БЕЛЬЕ,"бялізна, нацеліва, хусцьцё."
БЕЛИЛА,пудра.
БЕЛОБРЫСЫЙ,бялёсы.
БЕЛОК,бялок.
БЕБКОВИНА,бялчавіна.
БЕЛОШВЕЯ,швачка.
БЕЛЕНА,расьць. Hyostiamus niger: блёкат.
БЕС,"агульн. слав. бес, чорт, нячысьцік, злы дух."
БЕСИТЬСЯ,"шалець, шалёны, шал."
ВАДИТЬ,"каго чым, надзіць, панадзіўся, надны. Надзіць абцяцанкамі. Панадзілася лісіца ў курынец. Надны кавалак. Пакарай каб ня понадна было другому."
ВАЛЕК,"плосмая калодачка з ручкай да выбіваньня бялізны пры паласканьні: пральнік (ад „праць“ — біць), пранік. Кіянка — пральнік з доўгай ручкай, каб можна было праць не згібаючыся; ужываецца пры бяленьні палоцен."
ВАЛЕЖНИК,"м. паваленыя ветрам дрэвы ў лесе: павал, лесалом, ветралом, вывертка."
ВАЛЕТ,м. франц. малодшая з фігур у картах: ніжнік.
ВАЛИТЬ,"агульн. слав. валіць. Вальны стар. усеагульны, экстраны сход. Вальны сойм, сход."
ВАЛЕНКА,"шапка зьбітая з воўны; магерка. Магерка даўней была націнальным беларускім галаўным надзеткам: рабілі пераважна магеркі з белай воўны з загнутымі ўверх краямі, ў форме капялюшнага брыля. Магерка названьне заноснае, праўдападобна паходзіць ад слова „вэнгер“, сам-жа адзетак сягае дужа даўных часаў і мае сваю старую назову: кучомка, кучма."
ВАЛИТЬ,"зьбіваць воўну: лямчыць; „валіць“ слова заноснае з Масковіі. Па беларуску будзе ня войлак, а — лямец."
ВАЛ,"м. земляны накоп: акоп, акопісты, акапываць. (Ціліндрычны кругляны асяродак машыннага кола: ворот), вал. Валак, прыбор да качаньня бялізны. Вал, валва, вада паднятая ад ветру сьцяной."
ВАЛОВОЙ,"у лічэньні, прадажы: агульны, агульніцкі, агулам. Агульнага даходу было столькі то. Агульніцкая крама, называецца — агульня,-ніца. У раздроб не прадаюць, толькі агулам."
ВАЛУН,"камень агладжаны і акруглены прыродай: глыжак, глыжэнь, буглыга, буглыжнік, булак, буглавень. Дробныя камяшкі адложаныя ракой, буйнейшыя за жвір — гальчакі гальчак, гальчаўе."
ВАЛЬДШНЕП,птах Skolarax rustikola: сломка.
ВАЛЬЯЖНЫЙ,"літы, тоўсты, адліваны да поўна у форму: масыўны, адналітны."
ВАМПИР,"м. баечная істота, якая па сьмерці; высысае у сьпячых людзей кроў з жыл, а часам і загрызае на сьмерць: упыр."
ВАП м. ВАПА,ж. натуральная выкапываная з зямлі фарба: вохра.
ВАПИТЬ,вохрыць.
ВАРВАР,"м. лац. чалавек не адукаваны, грубы, дзікі: барбар. Барбарскі, прыналежны барбару, дзікі."
"ВАРЕГА, ВАРЕЖКА",ж. аднапальцыя суконныя рукавіцы: сподкі.
ВАРЕНИК,"м. варанае цеста надзяванае тварагом, твараговы блінчык запечаны на скварадзе: сырнік."
ВАРЕНЬЕ,"вараныя ў цукры ягады: канфітуры, сочыва. Ну не ядуць мусі хлеба, адны толькі канфітуры (Бурачок). Усякага сочыва, з усялякіх ягад яны сабе за лета з цукрам навараць (Ельскі)."
ВАРИТЬ,"агульнаслав.; даводзіць цечыва да кіпеньня на агне: варыць, варыва, варыўня, варніца, вар. Што дзень варым рознае варыва на ежу. Сёлета не ўрадзіла варыва: капусту чэрві паелі, буракі неўдаліся, грыжына (бручка) і морква падмокла. Наша варыўня сухая, але сцюдзёная, зімой падмярзае, ў ей варыва. Кажуць, даўней, былі ў Горадзеншчыне саляныя варніцы. Варам рукі абварыла сабе. Варна, горача, парна. Варыстая печ, печ у якой вараць."
ВАР,вараная смала; шавецкая смала; пікта.
ВАСИЛЕК,"м. расьц. Centurea Cyanus: валошка, васілька. Мяйсцамі у нас саму расьціну завуць валошка, а краску — васілька. (Слуцк. пав.). Краска валошкі служыць найбольш упадабаным матывам у беларускім здобніцтве, асабліва выдатнае мейсца яна займае у матывах слуцкіх паясоў."
ВАСИЛИСК,м. баечны зьмей: базылішак.
ВАСИЛЬЕВ ВЕЧЕР,"конадзень перад Новым годам: шчадрэц, шчодрык, шчодры вечар."
ВАТАГА,"ж. банда, бандыр, бандавод. За банду жабракоў аднаго багача ня вымяняеш. Бандэжыцца, біцца, змагацца, клапаціцца. Збандэжыць зьбіць з панталыку."
ВАТЕРПАС,м. прыбор паказуючый роўню на паверхні: грунтвага.
ВАТЕРКЛОЗЕТ,м. адходнае мейсца з напускной вадой: сталец.
ВАТРУШКА,"ж. круглы піражок з тварагом: тварожнік: кныш, кнышок. Кнышы пякуцца з тварагом, макам, канаплямі і канфітурамі."
ВАХЛАК,"м. нехлямяжы, неабычайлівы чалавек: пабавень, растармаха, целяпень."
ВАХЛЯТЬ,"пэцкаць, патроліць, кудлачыць."
ВАХТА,ж. чародная варта на вайсковым вадаплаве: дазор.
ВАШ,"заімак 2 асобы: мой наш, твой, ваш. Ваша воля, наша доля. Вашы пьюць, нашых бьюць. Вашэць, Ваша — слова ўжыванае на Беларусі замест. рас. Вы, паходзіць ад скарочаньня Ваша Міласьць, Ваша Чэсьць. Ты Ваша, я Ваша, а хто-ж хлеба напаша."
ВАЯТЬ,"што, высякаць, выразаць ад рукі выпуклыя, або акруглыя падобьбя людзей, зьвераў, або аздоб: рэзьбіць, рэзьбяр, рэзьба. Архаічн., каведар."
ВБИВАТЬ,"што у што, ўбіваць, ўганяць. Убіў (угнаў) кол (цьвек)."
ВБИРАТЬ,"што у што, ўцягаць, ўсякаць, ўпіваць."
